Predicate,Count
P-expelled_from,2
P-place_of_association,2
P-located_adjacent_to,2
P-Traveled_to,2
P-drew_criticism_from,2
P-Distanced_from,2
P-sailed_from,2
P-sailed_to,2
P-impacted_region,2
P-is_a_work_by,2
P-comparable_to,2
P-Moved,2
P-Also_produced_by,2
P-Distributed,2
P-adopted_by,2
P-Initiated,2
P-consulted_on,2
P-is_an_alumnus_of,2
P-Dedicated_to_studying,2
P-embodies,2
P-relative_of,2
P-Sent_from,2
P-Links_to,2
P-Family_member_of,2
P-maintains_trademark,2
P-worked_after,2
P-Location_of_study,2
P-Professional_role_at,2
P-judge_on,2
P-Examines,2
P-Critiqued,2
P-Recordings_distributed_by,2
P-simulcasts_content_from,2
P-Co-headlined,2
P-has_ride,2
P-was_student_at,2
P-subject_of,2
P-Licensed_to,2
P-Is_not_mentioned_with,2
P-Has_album,2
P-owner,2
P-Connection_via,2
P-Services_location,2
P-Developmental_system,2
P-Theme,2
P-Guided_by,2
P-Departed,2
P-Announced_cancellation_of,2
P-maintains,2
P-Parodied,2
P-attempted_to_block,2
P-Assassinated_at,2
P-assassinated,2
P-Spent_formative_years_in,2
P-Affiliate,2
P-partOf,2
P-not_mentioned_together,2
P-Involved_in_managing,2
P-Hub_location,2
P-cultural_significance,2
P-maintained_ties,2
P-covers_state_of_physics_in,2
P-coach_of,2
P-head_of,2
P-targeted_audience,2
P-Is_the_capital_of,2
P-holder,2
P-compete_with,2
P-Practice_location,2
P-Is_anchor_store,2
P-Exiled_Via,2
P-screened,2
P-Assistant_of,2
P-Ideology,2
P-successful_in,2
P-recorded_songs_by,2
P-Interacts_in,2
P-Stars_with,2
P-born_at,2
P-is_leader_of,2
P-Correspondence_with,2
P-move_beyond,2
P-gave_up,2
P-LicensedUnder,2
P-HostedOn,2
P-emphasize,2
P-chronicled,2
P-is_recognized_as,2
P-Left_money_to,2
P-Eliminated_tariffs_on,2
P-printed_in,2
P-co-sponsored,2
P-Faced_legal_troubles_related_to,2
P-Has_spur_pipeline_extending_to,2
P-Ranked_on,2
P-Is_an,2
P-distribution_includes,2
P-close_to,2
P-Advocated_for,2
province,2
P-isPopularIn,2
P-flow_through,2
P-retained,2
P-are_originally_from,2
P-Produces_programme,2
P-Rivals_with,2
P-Created_portraits_of,2
P-Concerned_about,2
P-Released_on_format,2
P-Broadcaster,2
P-album_of,2
P-Honored_at,2
P-Cameo_by,2
P-Conference,2
P-are_adoptive_parents_of,2
P-performed_strongly_in,2
P-executive_producer_of,2
P-Cause,2
P-Participated_in_event,2
P-subgroupOf,2
P-Noted,2
P-Housed,2
P-Learned_from,2
P-Major_figure_in,2
P-Offered_services,2
P-Offers_service_to,2
P-capital_city_of,2
P-Won_NBA_championship_in,2
P-Provides_library_for,2
P-Pseudonym,2
P-Interviewed_in,2
P-Subject,2
P-REUNION,2
P-Featured_Team,2
P-not_located_in,2
P-Bypassed_sections_near,2
P-releasedBy,2
P-Placed_under_house_arrest,2
P-Promotional_campaign_for,2
P-acquired_via,2
P-is_professor_at,2
P-based_at,2
P-historical_tie,2
P-is_considered_a_significant_milestone_for,2
P-performed_together_with,2
P-previously_hosted_by,2
P-is_tied_to,2
P-opposed_by,2
P-worksWith,2
P-ministry,2
P-Signed_a_deal_with,2
P-ordainedAt,2
P-is_a_character_from,2
P-Combatant,2
P-Co-stars_with,2
P-Received_honor_from,2
P-sentenced_to_death_alongside,2
P-buried_next_to,2
P-handed_over_to,2
P-sung_by,2
P-tenure_as,2
P-Allows_choosing_between_models,2
P-Hosts_at,2
P-Widow,2
P-Features_acts_associated_with,2
P-Has_ties_to,2
P-Attended_gathering_with,2
P-Producer,2
P-led_invasion_that_disbanded,2
P-provides_scholarships_to,2
P-relocation_to,2
P-Transferred_ownership_to,2
P-acquitted_in,2
P-participated_in_discussions,2
Citizenship,2
P-Part_of_roster,2
P-Extended_support_to,2
P-Debated_with,2
P-Later_moved_to,2
P-relied_on,2
P-Sponsored_by,2
P-departed_from,2
P-ruling,2
P-spouse_of,2
P-is_located_at,2
P-appeared_as,2
P-produced_on,2
P-Attends_university_in,2
P-predecessor_of,2
P-awarded_for,2
P-under_license,2
P-marketed_in,2
P-airs_programs_from,2
P-broadcasts_local_programming_alongside,2
P-played_significant_roles_in,2
P-Co-owns,2
P-Political_leaning,2
P-Originates_From,2
P-year_of_release,2
P-auctioned_at,2
P-resulted_in_loss_of_accreditation,2
P-isNotConnectedTo,2
P-Inhabited_by,2
P-assigned_to,2
P-Suburb_of,2
P-Envisions,2
P-Does_not_provide_details_about,2
P-discussed_ideas_with,2
P-Signed_under,2
P-assassinated_near,2
P-biography_subject,2
P-fascinated_by,2
P-symbol_in_work_of,2
P-Joined_with,2
P-Featured_player,2
P-consolidated,2
P-Exemplifies,2
P-Details_the_life_of,2
P-subgroup_of,2
P-PartOf,2
P-Shares_record_with,2
P-Amnesty_to,2
P-distributes,2
P-Broadcasted_on,2
P-Co-owner,2
P-split_from,2
P-shut_down_due_to_legal_disputes_with,2
P-shares_universe_with,2
P-Retailer_at,2
P-Professional_home,2
P-participates_in_Releases,2
P-Depicted,2
P-was_picked_up_by,2
P-conflict_involves,2
P-Features_segments_about,2
P-Hosted_segments_of,2
P-Hosted_events,2
P-Settled_with,2
P-Worked_in_language(s),2
P-acquiredBy,2
P-Facilitated_relationships_between,2
P-Career_started_at,2
P-Disputed_with,2
P-Grew_up_in_the_shadow_of,2
P-own,2
P-InteractedWith,2
P-Carries_on,2
P-finished_first_in,2
P-traded_with,2
P-Work_based_on,2
P-used_technology,2
P-features_wrestlers_from,2
P-held_captive_by,2
P-Dedicated,2
P-Depicted_alongside,2
P-Participated_as,2
P-Shared_stage_with,2
P-Theory_of,2
P-Division,2
P-moved_near,2
P-found_in,2
P-Shot,2
P-Includes_background_from,2
P-Features_elements_of,2
P-Themed_around,2
P-comments_on,2
P-blames,2
P-Drifted_closer_to,2
P-scored_against,2
P-Closed_by,2
P-Travelled_from,2
P-reinstated_by,2
P-team_of,2
P-Houses_artworks_by,2
P-Controlled_region_near,2
P-Affiliate_in,2
P-Collaborated_on_project,2
P-serves_as_assistant_coach_for,2
P-installed_Monument_in,2
P-Principal_of,2
P-Flagship_event,2
P-absence_from,2
P-Was_a_professor_at,2
P-Wedding_location,2
P-Ceremonies_location,2
P-British_MP,2
P-killed_in,2
P-former_home_of,2
P-relocated_from,2
P-Media_report_about,2
P-Struggled_financially_to_compete_with,2
P-Appreciates,2
P-Met_through,2
P-hasWork,2
P-Work_by,2
P-Performs_at,2
P-draws_inspiration_from,2
P-unites,2
P-Eliminated_by,2
P-site_of_assassination_of,2
P-Romantically_linked_with,2
P-Has_son,2
P-performs,2
P-Founding_member_of,2
P-Cultural_Impact,2
P-曾是股东_of,2
P-died_from,2
P-overseeing,2
P-Chairman,2
P-was_not_considered_for,2
P-debuted_at,2
P-is_national_of,2
P-co-owned_by,2
P-established_after,2
P-through,2
P-sold_in,2
P-Action,2
P-Traded_his_draft_rights_to,2
P-co-invented,2
P-Status,2
P-is_featured_vocalist,2
P-has_exhibit_about,2
P-historically_associated_with_artists,2
P-developmental_territory_for,2
P-attends,2
P-Uploads_videos_to,2
P-Co-starred_on,2
P-Success_due_to,2
P-votedFor,2
P-Memorializes,2
P-Setting_Location,2
P-commented_on,2
P-helped_establish,2
P-Precursor_to,2
P-Appears_with,2
P-Has_landmark,2
P-Head_of_State,2
P-pursues,2
P-Relocated_from,2
P-Surrounded_by,2
P-Shared_historical_roots_with,2
P-Lineage_linked_to,2
P-Romantically_linked_to,2
P-Targeted_market,2
P-traveledWith,2
P-Professional_role,2
P-Sailed_from,2
P-To,2
P-Geographical_roots,2
P-Created_a_portrait_of,2
P-Is_based_on,2
P-Photographed_for,2
P-Collaborator_on,2
P-Has_division,2
P-Simulcasts,2
P-Features_Artist,2
P-expansion,2
P-Breakup_with,2
P-Legal_dispute_location,2
P-continues_the_story_of,2
P-Inherited_estate,2
P-works_preserved_in,2
P-LiveIn,2
P-head_coach_of,2
P-Airing_shows_like,2
P-Moves_to,2
P-Humiliated,2
P-emotionally_affected_by,2
P-dropped,2
P-Has_player,2
P-advocating_for,2
P-featured_location,2
P-assassinated_in,2
P-Coverage_on,2
P-has_attraction,2
P-no_direct_connection_with,2
P-Closed_during,2
P-Achievements_similar_to,2
P-compiled_by,2
P-Assistant_coach_of,2
P-involves_in,2
P-cast_member,2
P-is_Filipino,2
P-achieved_success_in,2
P-Available_in_language,2
P-Had_an_affair_with,2
P-compiled,2
P-Imprisoned_at,2
P-IsIn,2
P-Religious_affiliation,2
P-leads_to,2
P-Testified_against,2
P-Officially_debuted_with,2
P-Has_artwork_by,2
P-Preserves_contributions_of,2
P-joined_elite_group_of_players_who_have_won_multiple_times,2
P-Adapted_into_film,2
P-splitInto,2
P-Showed_interest_in,2
P-Originally_owned_by,2
P-is_a_native_of,2
P-Has_a_deep_connection_to,2
P-Feeling_intimidated_by,2
P-Broadcasts_programming_from,2
P-confronts,2
P-Involved_in_producing,2
P-Broadcast_programming_from,2
P-Not_considered_for,2
P-Crashed_in,2
P-Birthplace_location,2
P-Aircraft_transferred_to,2
P-Stored_at,2
P-Assistant_Coach_Of,2
P-Shot_using,2
P-was_guest_mentor_for,2
P-swapped_call_signs_with,2
P-Influence_felt_at,2
P-operates_via,2
P-celebrated_as,2
P-removed_from_group,2
P-Launched_career,2
P-Lived_alongside,2
P-founding_member,2
P-Injured_in,2
P-Has_carriage_deal_with,2
P-Filled_in_for,2
P-involvement_with,2
P-participantIn,2
P-motherOf,2
P-open-sourced_on,2
P-Should_maintain_visual_consistency,2
P-restricted_to,2
P-Features_guitar_contributions_from,2
P-Expertise,2
P-has_in_fleet,2
P-designated,2
P-demonstrated,2
P-reached,2
P-Conceived_at,2
P-Theme_for,2
P-distributed_for,2
P-Mentioned_with,2
P-Narrated,2
P-Produced_track,2
P-Was_recognized_at,2
P-familiar_with,2
P-Played_significant_role_in_shaping,2
P-Fostered_connection_within_music_industry_for,2
P-capital_at,2
P-FocusOn,2
P-AiringShow,2
P-Filming_location,2
P-surrendered_to,2
P-Shares_thematic_similarities_with,2
P-Reported_by,2
P-has_achieved,2
P-has_applied_for_broadcasting_license,2
P-Translated_by,2
P-Aimed_at,2
P-Includes_film,2
P-Faced_challenges_with,2
P-coverage_on,2
P-event_rivalry_with,2
P-by_artist,2
P-Achievements_comparable_to,2
P-borrowed_surname_from,2
P-Presided_over_case_against,2
P-Featured_references_to,2
P-hold_position,2
P-jointly_owns,2
P-Congressperson_of,2
P-Addition_of,2
P-Team_defeated,2
P-Published_game,2
P-accompanied_by,2
P-Had_census_record,2
P-Location_of_collaboration,2
P-Broadcasts_events_of,2
P-Happened_in,2
P-traded_(player),2
P-Colleague_of,2
P-Impacts,2
P-Confronts,2
P-provides_streaming_services_in,2
P-Favorite_film,2
P-actor,2
P-Debuted_as,2
P-Reached_top_charts_in,2
P-Known_in,2
P-Diverted_to,2
P-Continued_activities_with,2
P-locationReleased,2
P-Carriage_deal_with,2
P-is_the_son_of,2
P-negotiatedWith,2
P-Played_a_key_role_in_establishing,2
P-Reinterred_at,2
P-founder,2
P-engaged_with_figures,2
P-is_a_type,2
P-supports_video_format,2
P-Work_preserved_at,2
P-mastered_at,2
P-Returned_frequently_to,2
P-starring_role,2
P-Portrayed_character_from,2
P-Painted_by,2
P-Diss_track_aimed_at,2
P-features_role,2
P-Followed_by,2
P-vacation_location,2
P-Dropped,2
P-Discontinued_after,2
P-Covered_on,2
P-abolished_by,2
P-had_anchor_store,2
P-operating_in,2
P-has_influence,2
P-has_subgroup,2
P-Record_label,2
P-Co-distributed_with,2
P-Distributed_alongside,2
P-FormedBy,2
P-MarketTo,2
P-literary_executor,2
P-played_professionally_for,2
P-Neighbor_of,2
P-Joined_by,2
P-voice,2
P-participate_in,2
P-significant_figure_in,2
P-provides_training_for,2
P-Hosted_games,2
P-Made_trade_involving,2
P-joint_venture_involving,2
P-Uses_technology,2
P-broadcasts_programming_from,2
P-Stage_name,2
P-actor_of,2
P-reached_top_charts_in,2
P-Spent_early_childhood_with,2
P-star,2
P-SubConference,2
P-Includes_items_from,2
P-did_not_mention,2
P-Launched_the_career_of,2
P-showcased_cultural_impact_in_region,2
P-has_carriage_deal_with,2
P-brought_on_stage_to_freestyle_with,2
P-Award,2
P-Inspired_By,2
P-Team_member,2
P-reinterred_at,2
P-Featured_series,2
P-Device_model,2
P-Next_location,2
P-Supports_video_format,2
P-Priced_at,2
P-guest_star_in,2
P-no_direct_connection,2
P-recognized_at,2
P-Jointly_owns,2
P-Targets,2
P-plays_as,2
P-dropped_by,2
P-father_served_in,2
P-served_at,2
P-Livestreamed_on,2
P-Rivalry_during_events_like,2
P-Recorded_on,2
P-Features_Character,2
P-Animated_Effects_For,2
P-Designed_and_managed,2
P-has_building,2
P-Building_named_after,2
P-Debut_of,2
P-Disapproved_by,2
P-Unveiled_by,2
P-Efforts_to_modernize,2
P-Re-linked_by,2
P-peaked_at_number,2
P-serves_as_Chancellor_of,2
P-chairs,2
P-Not_part_of,2
P-opened_by,2
P-Apprenticed_in,2
P-Formerly_at,2
P-has_webpage_on,2
P-listed_under,2
P-Acted_by,2
P-is_the_student_newspaper_of,2
P-Inner_suburb_of,2
P-evolved_alongside,2
P-Used_technology,2
P-Reused_elements_from,2
P-advocate_for,2
P-Significant_landmark_for,2
P-Aids_in_defeating,2
P-Becomes_part_of,2
P-Crucial_character_in,2
P-Is_president_of,2
P-disintegrates,2
P-Touring_with,2
P-Pursued,2
P-held_position_at,2
P-has_campus_in,2
P-Recruited_by,2
P-Architectural_Style,2
P-Studied_At,2
P-Foil_of,2
P-Acquired_through,2
P-conducted_research_using,2
P-Operated_at,2
P-is_a_professor_of,2
P-is_member_of,2
P-Studied_population,2
P-inventor_of,2
P-Stars_alongside,2
P-directly_links,2
P-style,2
P-First_appeared_in,2
P-Coordinates,2
P-Voiced_for,2
P-Has_part,2
P-provided_vocal_effects_for,2
P-Major,2
P-Debuted_in_film,2
P-Joins,2
P-vice-president_of,2
P-Not_associated_with,2
P-migrated_to,2
P-Soundtrack_released_by,2
P-Rivalry_With,2
P-Thematic_link,2
P-Biggest_fan,2
P-connected_through_regional_ties_to,2
P-Not_mentioned_with,2
P-academic_position_at,2
P-contributed_voice_talent_to,2
P-voice_acting_by,2
P-Legacy_includes,2
P-awarded_with,2
P-Maintaining_ties_to,2
P-Significant_in,2
P-Provides_grants_to,2
P-Receives_grants_from,2
P-falls_victim_to,2
P-is_a_warden_of,2
P-colleague_of,2
P-workplace,2
P-Contribution,2
P-Campus_located_in,2
P-Campaign_to_rename,2
P-Situated_close_to,2
P-Provides_training_opportunities_to,2
P-Excels_in,2
P-Includes_scenes_from,2
P-Wrote_dialogues_for,2
P-Music_Director,2
P-Elects,2
P-Lease_held_by,2
P-Documentary_about,2
P-adjoins,2
P-designed_by,2
P-Reached_number_two_on,2
P-Degree_in,2
P-Archived_at,2
P-integrates,2
P-Have_worked_with,2
P-offers_program,2
P-research_focus,2
P-Specialized_in,2
P-staple_of,2
P-uses_for,2
P-Concluded_by,2
P-Headmaster_of,2
P-Earned_Ph.D._at,2
P-overlooking,2
P-Defeats,2
P-Wrote_script_for,2
P-Soundtrack_excludes,2
P-Survived,2
P-Research_focus_on,2
P-initiated,2
P-co-recipient_of,2
P-features_enemy,2
P-Collaborative_Works,2
P-analyze,2
P-Mistaken_identity_for,2
P-Developed_with,2
P-studies_in,2
P-has_part,2
P-focus,2
P-survived,2
P-aids,2
P-nearby_location,2
P-Feat_of,2
P-Engage_in,2
P-Staple_of,2
P-Provided_training_facilities_for,2
P-architecture_resembles,2
P-Fights_against,2
P-Integral_part_of,2
P-Has_department,2
P-Raised_pitch_of,2
P-Disapproved_of,2
P-Custodian_of,2
P-Released_during,2
P-Edition_location,2
P-fosters_through_partnerships_with,2
P-Nominated_at,2
P-Received_award_from,2
P-broadcast_from,2
P-Current_location,2
P-Evolved_alongside,2
P-Antagonist_to,2
P-Served_by,2
P-earned_a_master's_degree_from,2
P-Conducted_research_in,2
P-Established_ties_to,2
P-offers_course_in,2
P-CollaboratesWith,2
P-has_a_campus,2
P-Affiliated_country,2
P-granted_deemed_university_status_by,2
P-offered_programs,2
P-Home_to_collaboration_with,2
P-patronage_of,2
P-became_president_of,2
P-Student_newspaper,2
P-acquired_estate_from,2
P-Noted_in,2
P-Uses_footage_of,2
P-studied_subject,2
P-Member_institution_of,2
P-Joined_alongside,2
P-Voice_for,2
P-Advisor,2
P-Plays_a_prominent_role_in,2
P-integral_to,2
P-was_overshadowed_by,2
P-Offers_places_to,2
P-Film_debut_of,2
P-chancellor_of,2
P-Based_on_characters_from,2
P-Historically_tied_to,2
P-Originally_released_in,2
P-Vice_-_Chancellor,2
P-Shares_location_with,2
P-main_campus_location,2
P-Alumnus,2
P-was_Chancellor_of,2
P-Served_as_warden,2
P-Merged_with_others_to_form,2
P-Previously_worked_on,2
P-CampusLocation,2
P-Provides_training_for,2
P-Actor_in,2
P-Separate_from,2
P-swam_for,2
P-featured_performances_by,2
P-establishes,2
P-Developed_as_part_of,2
P-Architects_involved,2
P-Played_during,2
P-provides_voice_to,2
P-served_as_President_at,2
P-Produced_under,2
P-Doctorate_at,2
P-Conducts_research_in,2
P-Solidified_connection_to,2
P-Has_building,2
P-Degree_obtained_in,2
P-Features_player,2
P-Alma_Mater,2
P-became_trustee_at,2
P-educated_in,2
P-Awarded_degree,2
P-reached_number,2
P-appearance_of,2
P-Philanthropist_in,2
P-brings,2
P-Concludes,2
P-Voice_acting_by,2
P-AppearsIn,2
P-Allows,2
P-Founded_under,2
P-Not_depicted_in,2
P-Moved_into,2
P-Provides_voice_for,2
P-Animated_sequence_supervised_by,2
P-Contributed_dialogue_by,2
P-Created_in_memory_of,2
P-Aids,2
P-Consulted_for,2
P-degree_earned,2
P-Narrative_Integration,2
P-Falls_under,2
P-Peaked_at,2
P-Focused_on_concepts,2
P-awarded_LL.D.,2
P-does_not_include,2
P-Has_hosted,2
P-Served_as_Chancellor,2
P-Affiliated_University,2
P-not_mentioned_or_connected_with,2
P-Featured_characters,2
P-Currently_owned_by,2
P-Antagonizes,2
P-Acquired_film_rights,2
P-Strong_ties_to,2
P-funds,2
P-final_involvement_in,2
P-researched_on,2
P-Facilitate,2
P-has_participated_in,2
P-Overshadowed,2
P-Sensor_network_located_at,2
P-is_mentioned,2
P-accepted_position_at,2
P-maintains_office_in,2
P-score_reused_in,2
P-PhD_advisor,2
P-served_as_warden,2
P-Provides_training_opportunities,2
P-served_on,2
P-Alumna,2
P-Incorporates,2
P-Foe_of,2
P-obtained_from,2
P-Research_location,2
P-Appearance_in,2
P-Benefited_institution,2
P-Resolves_character_arcs_of,2
P-not_mentioned_in,2
P-courses_validated_by,2
P-Opened_in,2
P-Sequel_of,2
P-Voice_acting,2
P-Holds_materials_about,2
P-regained_film_rights,2
P-are_a_part_of,2
P-key_transport_hub_for,2
P-Land_traditionally_owned_by,2
P-alumni_network_includes,2
P-has_library,2
P-voice_actor_for,2
P-Constituent_body_of,2
P-Enhances_reputation_of,2
P-Facilitated_research_at,2
P-Was_affiliated_with,2
P-Maintained_strong_ties_with,2
P-Moved_offices_to,2
P-offers_LL.M._in,2
P-ranked_by,2
P-plans_to_establish,2
P-Serves_area_near,2
P-Originally_named,2
P-Focuses_on_study_of,2
P-memorial_statues_and_plaque,2
P-leadership,2
P-Commented_on,2
P-Has_equipment,2
P-Meets_Criterion,2
P-Launched_as,2
P-Starring_alongside,2
P-participate_at_venue,2
P-emigrated_to,2
P-Principal,2
P-Earned_M.Phil_from,2
P-Transportation_network,2
P-intended_to_acquire,2
P-Nearby_location,2
P-Facility_location,2
P-Soundtrack_features,2
P-Awarded_degrees_through,2
P-Collaborated_on_a_scriptwriting_course_with,1
P-Studied_chemistry_at,1
P-Belonged_to,1
P-stayed_during_visits,1
P-most_populous_state,1
P-microdata_available_through,1
P-nominated,1
P-neighbor_of,1
P-only_public_medical_school_in,1
P-has_father,1
P-inherited_title_from,1
P-has_familial_link_through,1
P-has_family_connection_to,1
P-Republished_by,1
P-sent_a_copy_of,1
P-expressed_high_esteem_for,1
P-operational_reach,1
P-Wāli_of,1
P-reburied_in,1
P-was_a_student_at,1
P-maintained_office_in,1
P-Strategically_important_during,1
P-influence_during_rule,1
P-Provisional_designation,1
P-location_before_wedding,1
P-established_a_cultural_link_between,1
P-resides_at,1
P-Captured_near,1
P-Dimmed_lights_for,1
P-Made_films_in,1
P-Has_community,1
P-Sister_city_of,1
P-later_aired_reruns_on,1
P-Received_name_suggestion_for_album,1
P-Professional_ties,1
P-Used_as_holiday_home_by,1
P-Residents_commute_to,1
P-Indirectly_connected_via_commuters_and_economic_ties,1
P-Has_centre,1
P-influenced_cultural_significance_of,1
P-Reputation_linked_through,1
P-Enacted_by,1
P-Governs,1
P-Airing_on,1
P-language_version,1
P-highlighted_the_role_of,1
P-tributary_of,1
P-Born_under_reign_of,1
P-DoesNotMention,1
P-Historically_significant_to,1
P-twin_with,1
P-Climbs,1
P-wrote_to,1
P-became_sister_city_of,1
P-Father's_nationality,1
P-Mother's_nationality,1
P-Lived_in_early_childhood,1
P-Philosophical_idea,1
P-linked_geographically,1
P-Context_in,1
P-ensured_succession_of,1
P-Location_of_early_life,1
P-serves_as_a_private_retreat_for,1
P-Exhibits,1
P-Spends_Christmas_at,1
P-Khedive_of,1
P-first_in_which,1
P-collected_information_about,1
P-data_available_through,1
P-data_available_from,1
P-premiered_nationwide_on,1
P-ran_at,1
P-Maintained_a_secondary_feed_for,1
P-background_linked_to,1
P-confidante_of,1
P-likely_visited,1
P-is_a_friend_of,1
P-chose_the_title_from,1
P-features_scenes_in,1
P-Maternally_connected_to,1
P-sharesLineageWith,1
P-ruledOver,1
P-adhered_to,1
P-effective_in,1
P-Earned_PhD_from,1
P-installed_as,1
P-Used_libretto_by,1
P-not_credited_with,1
P-TiedTo,1
P-SeatOfGovernment,1
P-Elector_of,1
P-was_magistrate_of,1
P-included_area_near,1
P-empire_affiliation,1
P-Served_as_envoy_to,1
P-Planned_to_visit,1
P-Security_concern_about,1
P-Granted_land_to,1
P-Lists,1
P-Owed_military_service_to,1
P-No_direct_connection,1
P-Central_to_cultural_history_of,1
P-led_to_the_fall_of,1
P-was_a_significant_figure_in,1
P-influence_of,1
P-serving_as,1
P-led_against,1
P-Located_southwest_of,1
P-Located_south_of,1
P-welcomed_by,1
P-Span_along,1
P-Dissolved,1
P-Restored_to,1
P-United,1
P-Ancestral_home,1
P-Family_connection,1
P-Population_of,1
P-attributed_to,1
P-Used_as_setting,1
P-co-directed,1
P-frequented,1
P-was_Elector_of,1
P-Was_responsible_for,1
P-exiled_in,1
P-invitedBy,1
P-influencedThrough,1
P-served_as_a_refuge_for,1
P-declined_under,1
P-was_the_seat_of,1
P-rank,1
P-Military_strategy_implemented_in,1
P-led_to_the_formation_of,1
P-brought_under,1
P-extended_influence_over,1
P-works_against,1
P-Refers_to_region,1
P-Reign_started,1
P-Is_on_album,1
P-Is_lead_single_of,1
P-Related_tour,1
P-worked_on_sites_in,1
P-connected_to_via,1
P-Received_lead_from,1
P-Influenced_by_cultural_background,1
P-'s_band,1
P-supervised_the_construction_of,1
P-draws_water_from,1
P-Professional_name,1
P-shares_heritage,1
P-instituted_by,1
P-brings_water_from,1
P-brings_water_to,1
P-featuredIn,1
P-was_a_key_nation_supporting,1
P-had_tensions_with,1
P-Finished_second_behind,1
P-early_work,1
P-has_connection_with,1
P-Aunt,1
P-played_guitars_made_by,1
P-connected_via_tour_to,1
P-Relics_located_at,1
P-Excommunicated,1
P-Resigned_from_position,1
P-Treated_for,1
P-moved_home_stadium_to,1
P-Co-edited_by,1
P-Discontinued_because_of,1
P-inherit,1
P-ties_with,1
P-revived,1
P-Initially_chosen_to_host,1
P-Withdrew_as_host,1
P-Replacement_host,1
P-Also_withdrew,1
P-Recorded_overdubs_at,1
P-Performed_during_tour,1
P-Achieved_Stardom_Through,1
P-Performed_In,1
P-Embarked_On_Tour_In,1
P-Created_By,1
P-requested_armistice_leading_to,1
P-served_as_Prime_Minister_under,1
P-Spotted_in,1
P-Broadcasted_to,1
P-broadcasted_during,1
P-broadcasted_to,1
P-musical_output_location,1
P-has_collection_of,1
P-Has_Museum,1
P-Coincided_with_the_birthday_of,1
P-surrendered_the,1
P-was_connected_to,1
P-has_Royal_Residence,1
P-had_cultural_influence_on,1
P-Focal_point_due_to_connection_with,1
P-Caused_incident_with,1
P-Houses_documents_of,1
P-acted_on_behalf_of,1
P-utilized_the_title_of,1
P-downfall_led_to_restoration_managed_from,1
P-Correspondent_with,1
P-early_career_contributions,1
P-Life_and_Work,1
P-Rendition_part_of,1
P-had_success_with,1
P-respects,1
P-disqualified_from,1
P-caused_by,1
P-Conducted_expeditions_in,1
P-conducted_work_at,1
P-Exile,1
P-Worked_in_parliament,1
P-Lived_until_death_in,1
P-Assassinated_near,1
P-Operated_service_from,1
P-Operated_service_to,1
P-Settled_permanently_in,1
P-Signed_at,1
P-Imposed_on,1
P-details_experiences_in,1
P-Lies_on,1
P-Wrote_During,1
P-Reflects_On,1
P-provided_support_to,1
P-established_training_camps_in,1
P-professional_interaction_with,1
P-figure_in,1
P-Runs_to,1
P-Highest_point_of,1
P-Location_of_heart,1
P-Age_at_death,1
P-Performed_tribute_to,1
P-Features_location,1
P-served_as_leader_of,1
P-had_political_influence_during_tenure,1
P-maintained_involvement_in,1
P-was_willing_to_negotiate_troop_withdrawals_with,1
P-Party,1
P-Treatment_location,1
P-retained_position_of,1
P-has_interest_in,1
P-favorite_artist,1
P-Engaged_in,1
P-Speaks_at,1
P-Survivor_of,1
P-Indirect_ties,1
P-used_as_library,1
P-accidentally_died_at,1
P-significant_during_reign_of,1
P-Retreated_towards,1
P-Important_for_defense_against,1
P-Provided_technical_input,1
P-from_Album,1
P-refused_because,1
P-documentaryFilm,1
P-recordedIn,1
P-activityLocation,1
P-isEmperorOf,1
P-isCapitalOf,1
P-translatedFrom,1
P-translatedTo,1
P-Descent_from,1
P-Referred_to_as,1
P-Historical_tie,1
P-Soldier_in,1
P-Played_role_in_shaping,1
P-Conflict_involved_in,1
P-Commander,1
P-Led_forces_against,1
P-Was_defeated_at,1
P-Proceeded_into,1
P-Pushed_toward,1
P-overthrown_by,1
P-Album_released_by,1
P-is_pseudonym_of,1
P-Collapsed_part_of,1
P-Was_chief_architect_for,1
P-Influenced_decisions_about,1
P-Anathematized,1
P-nephew,1
P-Retired_to,1
P-Did_not_acknowledge,1
P-King_of_Denmark,1
P-Confiscated_property,1
P-Descendant,1
P-was_Archbishop_of,1
P-linked_through_governance,1
P-reigns_over,1
P-has_capital,1
P-Safeguarded,1
P-宗教信仰,1
P-doctorate_degree_from,1
P-oppositionTo,1
P-was_appointed_by,1
Title,1
P-Declared_War_Against,1
P-Aligned_With,1
P-located_west_of,1
P-starts_at,1
P-once_bordered,1
P-Field_of,1
P-Diverts_truck_traffic_from,1
P-recruited_by,1
P-considered,1
P-provided_to,1
P-Led_to_rejection_of,1
P-Advised_on_filming_of,1
P-republished,1
P-contrasts,1
P-part_of_album,1
P-exceeded_with,1
P-naturalized_citizen_of,1
P-aimed_to_put_pressure_on,1
P-had_a_crucial_base_in,1
P-Operated_during,1
P-Was_connected_to,1
P-Had_an_anti-communist_stance,1
P-Exposed,1
P-Improved,1
P-educated_by,1
P-role_held_by,1
P-measured_approach_noted_by,1
P-Received_Order,1
P-created_blacklist_for,1
P-includes_reign_of,1
P-opened_on,1
P-Performed_work_from,1
P-Influence_reached,1
P-concert_location,1
P-Achieved_fame_in,1
P-Death_date,1
P-Relocation_location,1
P-Ordered_reburial,1
P-Architectural_milestone,1
P-Precedent_for,1
